x y z
0.000000 0.000000 0.000000
0.000000 0.000000 0.263158
0.000000 0.000000 0.526316
0.000000 0.000000 0.789474
0.000000 0.000000 1.052632
0.000000 0.000000 1.315789
0.000000 0.000000 1.578947
0.000000 0.000000 1.842105
0.000000 0.000000 2.105263
0.000000 0.000000 2.368421
0.000000 0.000000 2.631579
0.000000 0.000000 2.894737
0.000000 0.000000 3.157895
0.000000 0.000000 3.421053
0.000000 0.000000 3.684211
0.000000 0.000000 3.947368
0.000000 0.000000 4.210526
0.000000 0.000000 4.473684
0.000000 0.000000 4.736842
0.000000 0.000000 5.000000
0.100000 0.000000 5.050000
0.307143 0.000000 5.153571
0.514286 0.000000 5.257143
0.721429 0.000000 5.360714
0.928571 0.000000 5.464286
1.135714 0.000000 5.567857
1.342857 0.000000 5.671429
1.550000 0.000000 5.775000
1.757143 0.000000 5.878571
1.964286 0.000000 5.982143
2.171429 0.000000 6.085714
2.378571 0.000000 6.189286
2.585714 0.000000 6.292857
2.792857 0.000000 6.396429
3.000000 0.000000 6.500000
-0.050000 0.086603 5.050000
-0.153571 0.265994 5.153571
-0.257143 0.445384 5.257143
-0.360714 0.624775 5.360714
-0.464286 0.804166 5.464286
-0.567857 0.983557 5.567857
-0.671429 1.162948 5.671429
-0.775000 1.342339 5.775000
-0.878571 1.521730 5.878571
-0.982143 1.701121 5.982143
-1.085714 1.880512 6.085714
-1.189286 2.059903 6.189286
-1.292857 2.239294 6.292857
-1.396429 2.418685 6.396429
-1.500000 2.598076 6.500000
-0.050000 -0.086603 5.050000
-0.153571 -0.265994 5.153571
-0.257143 -0.445384 5.257143
-0.360714 -0.624775 5.360714
-0.464286 -0.804166 5.464286
-0.567857 -0.983557 5.567857
-0.671429 -1.162948 5.671429
-0.775000 -1.342339 5.775000
-0.878571 -1.521730 5.878571
-0.982143 -1.701121 5.982143
-1.085714 -1.880512 6.085714
-1.189286 -2.059903 6.189286
-1.292857 -2.239294 6.292857
-1.396429 -2.418685 6.396429
-1.500000 -2.598076 6.500000
